horizon,variant,candidate,selection_fold,candidate_selection_policy,candidate_selection_fold_count,stability_median_balanced_accuracy,stability_median_macro_f1,stability_balanced_accuracy_std,stability_median_roc_auc,n_samples,accuracy,balanced_accuracy,macro_f1,precision_down,precision_up,recall_down,recall_up,mcc,roc_auc,brier_score,log_loss,expected_calibration_error,threshold,confusion_matrix
5,no_hurst_with_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.5057964284231395,0.47277750072912084,0.023874069121907992,0.5261486806256214,578,0.4982698961937716,0.5069116675674052,0.48990894926477746,0.47757255936675463,0.5376884422110553,0.663003663003663,0.35081967213114756,0.014524391185276533,0.4643607758361857,0.2945104811493283,0.8039566902735039,0.1790705398205479,0.6200000000000001,"[[181, 92], [198, 107]]"
5,no_hurst_no_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.5147359707620626,0.5059525666956167,0.01968553491839214,0.533961387671769,578,0.48961937716262977,0.5085149822854741,0.434128825214139,0.4773662551440329,0.5543478260869565,0.8498168498168498,0.16721311475409836,0.02323982959842698,0.4686843211433375,0.2695984828209609,0.7347910244521906,0.13449198418797176,0.645,"[[232, 41], [254, 51]]"
5,no_hurst_no_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5229720147337427,0.5094211407165128,0.015678070214467897,0.5484471358406164,578,0.4809688581314879,0.49935747312796497,0.4279266795993507,0.47193347193347196,0.5257731958762887,0.8315018315018315,0.16721311475409836,-0.0017166989012240086,0.4650333273284093,0.27274685609336635,0.7419420915957065,0.1427396720971668,0.65,"[[227, 46], [254, 51]]"
5,no_hurst_no_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.5191538336726134,0.4804320000661986,0.02270461898243369,0.5422699745961741,578,0.4913494809688581,0.5130366900858704,0.4139952549106158,0.4796116504854369,0.5873015873015873,0.9047619047619048,0.12131147540983607,0.04176905897124301,0.4790368101843512,0.2584511208506954,0.7103833969668983,0.08386759514546548,0.595,"[[247, 26], [268, 37]]"
5,no_hurst_no_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5315818977458127,0.47617865937900783,0.01213012955783807,0.5667047476097804,578,0.513840830449827,0.5318501170960187,0.46720771019836443,0.49159663865546216,0.6176470588235294,0.8571428571428571,0.20655737704918034,0.08341971657477541,0.5050861706599412,0.25339069847160556,0.6999931268357029,0.05904826927204602,0.52,"[[234, 39], [242, 63]]"
5,no_hurst_no_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.5057964284231395,0.47277750072912084,0.023874069121907992,0.5261486806256214,578,0.4982698961937716,0.5069116675674052,0.48990894926477746,0.47757255936675463,0.5376884422110553,0.663003663003663,0.35081967213114756,0.014524391185276533,0.4643607758361857,0.2945104811493283,0.8039566902735039,0.1790705398205479,0.6200000000000001,"[[181, 92], [198, 107]]"
5,legacy_hurst_no_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.5113652800646018,0.49755224633632283,0.02275704336244149,0.5259193542539284,578,0.513840830449827,0.5001441181769051,0.474040083807476,0.4726027397260274,0.5277777777777778,0.25274725274725274,0.7475409836065574,0.00033117816633608825,0.46814387797994356,0.2712976346097072,0.7388515732208746,0.12205438824469554,0.42,"[[69, 204], [77, 228]]"
5,legacy_hurst_no_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5375432107108128,0.5201098224638481,0.0235246045098784,0.543808065399308,578,0.5103806228373703,0.49724974479072837,0.47348837209302325,0.46710526315789475,0.5258215962441315,0.2600732600732601,0.7344262295081967,-0.006237458100137895,0.4646009727976941,0.274426667526481,0.7460867751318438,0.13376789821777635,0.42,"[[71, 202], [81, 224]]"
5,legacy_hurst_no_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.531714742646753,0.49275289070371037,0.01878105699625125,0.548933375206853,578,0.49653979238754326,0.5141115714886206,0.4506833880370352,0.4809322033898305,0.5660377358490566,0.8315018315018315,0.19672131147540983,0.036409329996189836,0.4883564522908785,0.25835049584194136,0.7103594525295475,0.08640076995988329,0.5650000000000001,"[[227, 46], [245, 60]]"
5,legacy_hurst_no_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5213680489822317,0.46604314140230585,0.011653976491637047,0.560089442696678,578,0.5311418685121108,0.5420945175043536,0.5175544775544776,0.5024875621890548,0.5965909090909091,0.73992673992674,0.3442622950819672,0.09133083207328212,0.5143337536780159,0.25260388484265067,0.698384585036097,0.06199925631854656,0.495,"[[202, 71], [200, 105]]"
