<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.06.27	1572.26	1583.08	1562.69	1574.13	93578	28366575	29
2012.06.28	1574.37	1578.87	1547.90	1552.53	110459	33529700	35
2012.06.29	1552.27	1606.79	1551.06	1596.56	129228	39407800	35
2012.07.02	1597.61	1602.37	1587.08	1597.02	99385	29886895	35
2012.07.03	1596.91	1624.93	1594.82	1617.13	107664	32631946	35
2012.07.04	1617.24	1620.29	1611.44	1614.98	59289	18002259	35
2012.07.05	1615.65	1623.76	1597.49	1604.00	106394	32239056	35
2012.07.06	1604.50	1609.68	1576.39	1582.50	110068	33452376	35
2012.07.09	1579.15	1592.77	1576.40	1587.42	89122	26895709	35
2012.07.10	1588.95	1601.17	1564.42	1566.21	105834	31987549	35
2012.07.11	1567.13	1583.18	1566.82	1575.71	99764	30166468	35
2012.07.12	1576.62	1577.86	1554.94	1571.38	102781	23782960	0
