<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.08.15	1744.97	1765.70	1727.67	1765.33	52719	0	60
2011.08.16	1765.04	1786.63	1760.84	1784.41	44030	0	60
2011.08.17	1787.08	1794.46	1778.97	1790.62	40552	0	60
2011.08.18	1789.73	1828.24	1783.73	1823.92	42692	0	60
2011.08.19	1824.91	1876.66	1820.90	1851.51	72950	0	60
2011.08.22	1865.66	1897.88	1858.04	1896.45	81448	0	60
2011.08.23	1907.64	1911.63	1823.34	1829.31	83113	0	65
2011.08.24	1834.50	1853.69	1749.68	1759.89	85981	0	50
2011.08.25	1749.66	1773.79	1702.55	1770.07	82737	0	50
2011.08.26	1770.62	1826.88	1757.00	1825.27	70551	0	60
2011.08.29	1832.26	1834.21	1775.74	1786.78	81685	0	60
2011.08.30	1786.48	1839.60	1783.58	1834.24	69194	0	60
2011.08.31	1835.55	1838.90	1812.49	1824.56	59982	0	55
2011.09.01	1824.75	1830.50	1813.41	1825.93	48095	0	50
2011.09.02	1825.85	1884.33	1824.14	1881.92	44810	0	70
2011.09.05	1880.85	1902.70	1874.11	1899.54	34948	0	70
2011.09.06	1901.20	1920.61	1858.38	1875.63	71042	0	70
2011.09.07	1869.05	1880.21	1792.41	1816.93	69380	0	70
2011.09.08	1815.95	1870.28	1813.50	1868.77	62811	0	70
2011.09.09	1868.06	1885.84	1822.77	1857.02	68244	0	70
2011.09.12	1857.46	1861.28	1801.08	1815.87	70654	0	70
2011.09.13	1815.49	1843.55	1794.28	1833.37	66541	0	70
2011.09.14	1833.54	1844.38	1808.41	1819.30	62063	0	70
2011.09.15	1820.99	1826.21	1772.58	1788.28	60712	0	70
2011.09.16	1787.81	1821.43	1762.44	1808.80	54755	0	70
2011.09.19	1818.58	1827.68	1770.62	1777.55	56151	0	70
2011.09.20	1776.90	1811.34	1769.65	1803.48	57122	0	70
2011.09.21	1803.21	1816.36	1778.45	1781.87	59658	0	70
2011.09.22	1780.81	1786.17	1720.81	1740.10	74742	0	70
2011.09.23	1739.20	1755.09	1628.82	1653.92	78455	0	70
2011.09.26	1647.36	1663.46	1531.94	1627.65	94756	0	70
2011.09.27	1623.97	1677.00	1614.67	1650.17	76097	0	70
2011.09.28	1651.42	1669.05	1598.41	1608.16	73791	0	70
2011.09.29	1609.18	1634.83	1582.84	1614.23	76436	0	70
2011.09.30	1614.13	1640.26	1606.40	1623.68	62291	0	70
2011.10.03	1623.68	1664.24	1621.38	1657.46	58964	0	70
2011.10.04	1662.35	1678.35	1595.65	1621.57	70454	0	70
2011.10.05	1626.31	1646.78	1597.30	1640.25	65153	0	70
2011.10.06	1641.73	1654.83	1631.28	1652.20	54977	0	70
2011.10.07	1651.25	1666.03	1625.80	1636.48	51764	0	70
2011.10.10	1638.97	1677.51	1638.83	1676.07	44255	0	70
2011.10.11	1682.12	1684.38	1653.76	1661.90	53298	0	70
2011.10.12	1662.69	1692.03	1660.30	1677.47	56187	0	0
2011.10.13	1676.11	1684.37	1652.82	1667.82	53578	0	0
2011.10.14	1667.14	1683.40	1661.07	1680.62	45937	0	0
2011.10.17	1682.44	1694.79	1664.77	1670.31	54565	0	0
2011.10.18	1670.90	1676.42	1626.74	1657.98	58352	0	70
2011.10.19	1655.13	1664.99	1639.58	1640.68	53664	0	70
